h3,places
892696142c7ffff,2
892696142a7ffff,2
89269602babffff,3
8926960290fffff,1
892696074a7ffff,3
8926960664bffff,1
89269615b2fffff,9
89269615b33ffff,18
89269615b53ffff,2
89269615b17ffff,4
8926961582bffff,2
89269615823ffff,3
89269615bb7ffff,2
8926961590bffff,8
89269615827ffff,2
89269615957ffff,3
89269615913ffff,3
892696159c7ffff,4
89269615917ffff,6
89269614a5bffff,1
89269615c2fffff,2
89269615c1bffff,1
89269615993ffff,2
89269615dcbffff,1
89269614e6fffff,5
89269614e47ffff,3
89269614303ffff,1
8926961414fffff,1
892696a9643ffff,2
89269614a2fffff,5
89269614a07ffff,1
89269614b3bffff,16
892696a96d3ffff,10
89269614b8fffff,8
89269614943ffff,2
892696a92d7ffff,2
892696a9043ffff,4
892696a900bffff,13
892696a9073ffff,3
8926961492bffff,35
892696a9473ffff,8
892696a941bffff,21
89269614a8fffff,2
89269614eafffff,10
892696148c7ffff,1
8926961482fffff,10
8926961480fffff,2
89269614c57ffff,8
89269614ddbffff,9
892696149b3ffff,4
892696ab24fffff,10
89269614d23ffff,18
892696ab2c3ffff,19
89269614d8bffff,6
89269614dabffff,3
89269616b67ffff,11
892696a952fffff,2
892696a866fffff,2
892696a95dbffff,12
892696ab33bffff,2
892696ab327ffff,36
892696a8297ffff,12
892696a8383ffff,10
892696a8007ffff,3
892696a862bffff,1
892696a80dbffff,1
892696a8683ffff,2
892696a8697ffff,2
892696a8087ffff,16
892696a8093ffff,3
892696ab237ffff,3
892696ab3cfffff,2
892696ab38fffff,10
892696ab39bffff,1
892696ab393ffff,1
892696ab07bffff,6
892696ab177ffff,20
892696ab4abffff,3
892696ab137ffff,20
892696ab13bffff,1
892696ab1b7ffff,2
892696ab523ffff,1
892696aa2c3ffff,1
892696aa637ffff,1
89269616a87ffff,2
89269616e2bffff,1
892696168abffff,1
89269616957ffff,2
89269616103ffff,7
8926961612fffff,5
89269616197ffff,2
892696b9273ffff,10
892696b923bffff,2
892696b9307ffff,1
892696b93dbffff,2
892696b93c3ffff,1
892696ab483ffff,1
89269606543ffff,1
8926960650fffff,10
89269606437ffff,1
892696065d7ffff,1
89269606517ffff,4
8926960659bffff,5
892696ab6cfffff,10
892696140a3ffff,1
89269616a7bffff,1
89269602bbbffff,1
8926960768bffff,1
89269615a57ffff,1
8926960743bffff,1
89269615b37ffff,3
89269615a37ffff,3
8926961595bffff,1
892696060d3ffff,2
8926960646bffff,2
89269615907ffff,4
892696064c7ffff,12
892696159b7ffff,11
89269614a67ffff,6
8926961427bffff,2
892696142abffff,3
89269615d6bffff,1
89269615d73ffff,1
89269614e57ffff,1
892696a96c3ffff,16
89269614b03ffff,1
8926961494fffff,1
892696a961bffff,2
892696a9603ffff,11
892696a90a3ffff,4
892696a909bffff,15
892696a908fffff,35
892696a90b3ffff,3
892696a96d7ffff,6
892696a9693ffff,10
892696a9447ffff,1
892696a9423ffff,14
892696a9417ffff,9
892696a9453ffff,1
892696ab267ffff,12
892696a9493ffff,28
89269614a17ffff,8
892696148c3ffff,1
89269614893ffff,7
89269614c1bffff,14
89269614c2fffff,10
89269614c8fffff,1
892696ab22bffff,20
892696ab207ffff,24
89269614dbbffff,3
89269616b3bffff,2
89269616b23ffff,3
89269616babffff,1
89269614db7ffff,21
892696a820fffff,8
892696ab32bffff,51
892696a8607ffff,2
892696a86d3ffff,1
892696a82a7ffff,1
892696a803bffff,2
892696a80d3ffff,6
892696a8443ffff,1
892696ab317ffff,1
892696ab38bffff,1
892696ab3b3ffff,9
892696ab10fffff,2
892696ab1c3ffff,1
892696ab19bffff,5
892696ab54bffff,1
892696ab57bffff,16
892696ab573ffff,44
892696ab5dbffff,3
892696ab1b3ffff,1
892696aa263ffff,1
892696aa253ffff,11
89269616a67ffff,2
89269616a37ffff,2
89269616aa7ffff,1
89269616a0bffff,1
89269616a1bffff,1
89269616e7bffff,4
89269616e07ffff,3
89269616ecfffff,1
89269616b17ffff,2
89269616b93ffff,6
89269616877ffff,2
8926961694fffff,2
89269616c3bffff,1
8926961618fffff,2
8926961652fffff,1
892696b927bffff,3
892696b92afffff,3
89269616cb7ffff,3
892696b931bffff,1
892696b9217ffff,2
892696b92b3ffff,5
89269606533ffff,2
89269606537ffff,5
8926960658fffff,2
89269615563ffff,1
89269614203ffff,1
8926961428fffff,1
892696076cbffff,1
89269602ba3ffff,3
89269602937ffff,1
89269602997ffff,3
89269615a5bffff,1
892696074abffff,1
89269615babffff,2
8926960660bffff,1
89269606633ffff,3
8926960644fffff,2
89269606443ffff,2
89269606453ffff,2
8926961594bffff,2
892696159cbffff,3
8926961598bffff,5
89269615933ffff,2
8926960648fffff,8
89269614a6fffff,26
89269614a7bffff,1
89269614a47ffff,2
89269615eb3ffff,1
89269615c43ffff,3
89269615cabffff,2
8926961422fffff,11
89269614223ffff,1
89269614a53ffff,3
89269614e0bffff,1
8926961417bffff,3
89269606493ffff,4
89269614a3bffff,4
89269614b87ffff,12
8926961494bffff,11
892696a963bffff,3
892696a9617ffff,12
892696a90cbffff,3
892696a9003ffff,16
892696a968bffff,3
89269614977ffff,6
892696a9433ffff,24
89269614abbffff,8
89269614a97ffff,9
8926961486bffff,3
8926961484fffff,9
89269614857ffff,1
892696149cfffff,6
89269614d6bffff,2
89269614d5bffff,6
89269614c83ffff,2
89269614da7ffff,13
892696ab273ffff,34
892696ab257ffff,9
892696ab227ffff,1
89269614d9bffff,6
892696ab64fffff,69
89269616b47ffff,2
892696a82cbffff,23
892696a95afffff,3
892696a828fffff,1
