h3,places
859c993bfffffff,38
859cae57fffffff,1
859c9e7bfffffff,1
859f53a3fffffff,4
859f50b3fffffff,2
859e04dbfffffff,1
859e1137fffffff,1
859b6ad3fffffff,1
859b45cffffffff,1
859b4cbbfffffff,2
859b41a3fffffff,82
859b4cc3fffffff,1
859b4e1bfffffff,1
859b5d17fffffff,1
859fb337fffffff,1
8582c413fffffff,1
8582c2affffffff,1
85588a6ffffffff,9
8582de27fffffff,3
8582de57fffffff,4
8582de0bfffffff,74
8582de4bfffffff,17
8582da07fffffff,3
8558d20ffffffff,3
8558d203fffffff,5
8582d0affffffff,2
8582d02bfffffff,2
8582d3d3fffffff,25
8582d633fffffff,1
8582d607fffffff,1
8582d63bfffffff,1
855890dbfffffff,268
85752d23fffffff,8
85752d17fffffff,15
855894cbfffffff,9
855894dbfffffff,3
85589093fffffff,1
85396ccffffffff,355
851f924bfffffff,101
851f92c3fffffff,63
851f9263fffffff,20
85396c23fffffff,2297
85396c27fffffff,172
85396dc7fffffff,23
85396cb3fffffff,602
85396cb7fffffff,241
851f930ffffffff,58
851f932bfffffff,46
85394907fffffff,28
85396b5bfffffff,3
851e96a3fffffff,134
851e969bfffffff,1
8539492ffffffff,36
851ea36ffffffff,570
851e8593fffffff,4634
851e85c7fffffff,967
851ea3c7fffffff,8497
851ea04bfffffff,925
851eda77fffffff,59426
851eda13fffffff,30
851ed853fffffff,408
851eda23fffffff,576
851edb53fffffff,16
853f7563fffffff,9
853f75b7fffffff,128
853f6273fffffff,464
853f620bfffffff,428
853f6297fffffff,229
853f6057fffffff,198
851ed933fffffff,135
851ed937fffffff,163
853f64dbfffffff,170
852da5affffffff,28
852d1607fffffff,2
852d1677fffffff,1051
852d1203fffffff,7
852dacd7fffffff,26
852dac8ffffffff,2
852dac03fffffff,89
852d1357fffffff,4
852d10abfffffff,1569
852d10a7fffffff,6
852d102bfffffff,3
852d130bfffffff,27
852d1337fffffff,8
852d117bfffffff,37
852d1107fffffff,22
852d1167fffffff,41
852dac47fffffff,1
852da847fffffff,1
85608b47fffffff,32538
853d9573fffffff,2
853d866ffffffff,4
853d829bfffffff,7
853d8667fffffff,1
853d91abfffffff,5
853d8263fffffff,6
853d9c17fffffff,6
853d822bfffffff,9
853db68ffffffff,34
853db453fffffff,816
853db403fffffff,9
853db013fffffff,21
853db463fffffff,7
853db493fffffff,9
853db5cbfffffff,8
853db5cffffffff,25
853db4a7fffffff,5
853db58bfffffff,18
853db03bfffffff,14
853db393fffffff,13
853db517fffffff,55
853db533fffffff,32
853db1a3fffffff,105
853da243fffffff,25
85425b73fffffff,14
85425b0bfffffff,15
85425b83fffffff,13
85425b23fffffff,44
85425baffffffff,6
854259dbfffffff,99
85425903fffffff,10
85425ba7fffffff,8
85425963fffffff,12
853db5b3fffffff,17
853da64ffffffff,334
853da2cffffffff,413
853da61bfffffff,27
853da46bfffffff,17
853d86d7fffffff,14
853d8607fffffff,3
853d80cffffffff,2
853d800ffffffff,14
853d8013fffffff,20
853d8037fffffff,298
853d81cffffffff,22
853da277fffffff,56
853da3c3fffffff,49
853da34bfffffff,118
853d84b7fffffff,42
853da377fffffff,23
853da063fffffff,136
853da39bfffffff,71
853da00ffffffff,104
853c1143fffffff,78
853c116bfffffff,134
853c156ffffffff,974
853c1e53fffffff,259
853c1e57fffffff,91
853c1e0ffffffff,14
853c1e03fffffff,33
853c1ebbfffffff,35
853c1e3bfffffff,70
853c1c53fffffff,70
853c18d3fffffff,69
853c1c67fffffff,67
853c150bfffffff,44
853c1503fffffff,115
853c0663fffffff,7
853c0657fffffff,40
853c066ffffffff,109
853c0263fffffff,2
853c034ffffffff,1
853c022ffffffff,1
853c0317fffffff,5
853c1abbfffffff,145
853c1aa3fffffff,13
853c1847fffffff,1021
853c1b0ffffffff,48
853c1817fffffff,36
853c1883fffffff,896
853c19cffffffff,61
853c19d7fffffff,95
853c196bfffffff,109
853ce683fffffff,26
853c1903fffffff,23
853c192bfffffff,24
853ce4dbfffffff,67
853ce6a7fffffff,270
853c1dc7fffffff,8
851f9d1bfffffff,89
851f8263fffffff,821
851f8293fffffff,42
851f862bfffffff,71
851f863bfffffff,28
851f9d8bfffffff,97
851faa3bfffffff,586
851f8897fffffff,1062
851f88bbfffffff,674
851f8d43fffffff,3833
851f8dd7fffffff,1013
851fab77fffffff,816
85196d6bfffffff,407
85196883fffffff,516
85196887fffffff,92
85196c2ffffffff,253
85196c37fffffff,5
85196cabfffffff,1
851fa097fffffff,3115
851fa54ffffffff,2113
851ea43bfffffff,6065
851ea42bfffffff,1855
