h3,_max,_min,_avg
872833a5bffffff,991,991,991.0
872833ae0ffffff,1044,1044,1044.0
872833148ffffff,564,564,564.0
872830120ffffff,317,317,317.0
872830022ffffff,331,331,331.0
8728300f2ffffff,342,342,342.0
872832983ffffff,106,106,106.0
8728338adffffff,539,539,539.0
87283238effffff,401,401,401.0
872832769ffffff,649,649,649.0
87283228cffffff,386,386,386.0
8729ab126ffffff,266,266,266.0
8729abc49ffffff,608,608,608.0
87283646effffff,298,298,298.0
87283646affffff,477,477,477.0
8729ab04affffff,621,621,621.0
8729ab0e4ffffff,918,918,918.0
8729ab0cdffffff,1012,1012,1012.0
8729ab08cffffff,1207,1207,1207.0
8729ab2c5ffffff,1024,1024,1024.0
8729ab2ceffffff,1056,1056,1056.0
8729ab2c3ffffff,1033,1033,1033.0
87298d960ffffff,1161,1161,1161.0
87298d949ffffff,1206,1206,1206.0
872836495ffffff,951,951,951.0
8729ab6e5ffffff,2362,1539,1961.25
8729abd18ffffff,722,722,722.0
8729abd84ffffff,1274,1274,1274.0
8729aaa81ffffff,2591,2591,2591.0
8729abce4ffffff,1125,1125,1125.0
8729abc14ffffff,1089,1089,1089.0
8729ab56effffff,1810,1810,1810.0
8729aa31bffffff,2801,2801,2801.0
8729aa160ffffff,2735,2735,2735.0
8729aa009ffffff,2679,2679,2679.0
8729aa18dffffff,4253,4248,4250.5
8729aa18affffff,4043,4043,4043.0
8729aa1b5ffffff,4031,4031,4031.0
8729aa0d5ffffff,3888,3888,3888.0
8729aa76dffffff,3366,3366,3366.0
8729aa28cffffff,3758,3758,3758.0
8729aa665ffffff,3561,3561,3561.0
8729aa643ffffff,3432,3432,3432.0
8729aa0d0ffffff,3918,3918,3918.0
87298c96cffffff,3137,3137,3137.0
87298c940ffffff,3868,3868,3868.0
87298c85cffffff,3400,3400,3400.0
8729ab6a4ffffff,3566,3566,3566.0
8729ab692ffffff,3804,3804,3804.0
87298dd09ffffff,2918,2918,2918.0
87298ca46ffffff,3958,3919,3943.6666666666665
87298ca5dffffff,3893,3893,3893.0
87298ca02ffffff,2608,2608,2608.0
87298ddb3ffffff,3235,3235,3235.0
87298c90dffffff,3829,3829,3829.0
87298c953ffffff,4021,4021,4021.0
87298c180ffffff,4126,4126,4126.0
8728366c6ffffff,437,437,437.0
8728366f6ffffff,460,376,418.3333333333333
872832d25ffffff,577,577,577.0
87298db64ffffff,672,672,672.0
8728364d3ffffff,708,708,708.0
872832990ffffff,240,240,240.0
872832d5cffffff,581,581,581.0
872832c69ffffff,454,454,454.0
87298dae8ffffff,1566,1566,1566.0
87298d869ffffff,1479,1479,1479.0
87298d8f1ffffff,2115,2115,2115.0
87298da10ffffff,1672,1672,1672.0
87298daa5ffffff,1799,1799,1799.0
87298d88bffffff,2468,2468,2468.0
87298dd58ffffff,3213,3213,3213.0
87298dc6affffff,3169,3169,3169.0
87298d318ffffff,2837,2837,2837.0
87298d0e1ffffff,3030,2969,2999.5
87298d0e9ffffff,2919,2919,2919.0
87298d754ffffff,2362,2362,2362.0
87283254dffffff,1022,1022,1022.0
872832455ffffff,1388,1388,1388.0
87298d26affffff,1902,1902,1902.0
872832415ffffff,1880,1880,1880.0
87283258affffff,1991,1991,1991.0
87283278affffff,1479,1479,1479.0
872832693ffffff,1815,1814,1814.5
872989b64ffffff,2048,2048,2048.0
872832481ffffff,2287,2287,2287.0
87298d2cbffffff,3040,3040,3040.0
87298d66cffffff,2651,2651,2651.0
872989b84ffffff,2625,2625,2625.0
872989164ffffff,2826,2826,2826.0
872989894ffffff,1744,1744,1744.0
87298dc1dffffff,3587,3547,3569.2
87298dc16ffffff,3338,3310,3326.0
87298dce8ffffff,3491,3369,3428.0
87298c240ffffff,3101,3101,3101.0
87298c2f1ffffff,2668,2668,2668.0
87298d5acffffff,2809,2629,2719.0
87298d6adffffff,2811,2811,2811.0
87298d68cffffff,2818,2818,2818.0
872988ae9ffffff,1397,1397,1397.0
872989d96ffffff,1413,1413,1413.0
872988095ffffff,2176,2176,2176.0
8729887b4ffffff,2521,2521,2521.0
8729a0a20ffffff,221,221,221.0
8729a0a1cffffff,543,543,543.0
8729a0b89ffffff,928,928,928.0
8729a1cdaffffff,1793,1793,1793.0
8729a0245ffffff,2779,2740,2759.5
8729a0234ffffff,1961,1961,1961.0
8729a018bffffff,747,703,728.5
8729a0704ffffff,2029,2029,2029.0
8729a0711ffffff,2546,2546,2546.0
8729a1411ffffff,990,990,990.0
8729a3b24ffffff,966,966,966.0
