h3,road_complexity
8844c38913fffff,4
8844c38937fffff,1
8844c3c6d9fffff,5
8844c3c66bfffff,1
8844c3c747fffff,4
8844c3c713fffff,3
8844c3c6a7fffff,1
8844c3c465fffff,3
8844c3c429fffff,5
8844c3c42bfffff,1
8844c389b1fffff,1
8844c389b7fffff,1
8844c31345fffff,4
8844c31353fffff,4
8844c3c6b1fffff,1
8844c31329fffff,1
8844c31331fffff,1
8844c3115dfffff,1
8844c3c481fffff,4
8844c3c4e3fffff,1
8844c3c593fffff,1
8844c3c0d7fffff,1
8844c3c54dfffff,2
8844c3ce11fffff,3
8844c3ce69fffff,3
8844c3ca93fffff,2
8844c3cf69fffff,2
8844c3ce2bfffff,1
8844c3cf19fffff,2
8844c3c5b5fffff,1
8844c31b67fffff,16
8844c3ccd5fffff,85
8844c3cdc3fffff,1
8844c3d867fffff,1
8844c3d8e7fffff,3
8844c3d88dfffff,2
8844c3d9e3fffff,2
8844c3d9b9fffff,1
8844c3d939fffff,8
8844c3d935fffff,1
8844c23613fffff,21
8844c23605fffff,1
8844c236e3fffff,12
8844c3cb6dfffff,57
8844c236b3fffff,15
8844c236adfffff,10
8844c234c5fffff,2
8844c3c829fffff,1
8844c3cb31fffff,23
8844c234d5fffff,3
8844c23481fffff,1
8844c23483fffff,2
8844c3c95dfffff,15
8844c3c901fffff,1
8844c23723fffff,37
8844c23541fffff,4
8844c23403fffff,2
8844c2343bfffff,9
8844c23535fffff,1
8844c22253fffff,1
8844c222c7fffff,7
8844c22207fffff,5
8844c22223fffff,1
8844c22237fffff,20
8844c22051fffff,10
8844c22649fffff,5
8844c2229bfffff,1
8844c235bbfffff,7
8844c22661fffff,5
8844c2261dfffff,1
8844c220bdfffff,1
8844c3c8d9fffff,1
8844c3c883fffff,4
8844c3c8a5fffff,2
8844c3c997fffff,2
8844c35247fffff,1
8844c22693fffff,12
8844c352d3fffff,1
8844c35293fffff,1
8844c35315fffff,2
8844c3500dfffff,3
8844c3500bfffff,1
8844c35035fffff,4
8844c351e9fffff,3
8844c2241dfffff,7
8844c22465fffff,1
8844c22403fffff,12
8844c22407fffff,2
8844c225c9fffff,1
8844c224ddfffff,5
8844c2259bfffff,10
8844c22599fffff,5
8844c22e15fffff,1
8844c22e3bfffff,1
8844c225e1fffff,1
8844c2258dfffff,1
8844c22e89fffff,12
8844c22e81fffff,18
8844c35165fffff,4
8844c35acbfffff,1
8844c35a3dfffff,7
8844c35aa9fffff,2
8844c3584dfffff,2
8844c35861fffff,2
8844c2163dfffff,1
8844c21425fffff,2
8844c21557fffff,1
8844c214cdfffff,1
8844c21523fffff,1
8844c215adfffff,1
8844c202d1fffff,5
8844c2023bfffff,2
8844c202edfffff,2
8844c2066bfffff,1
8844c20663fffff,1
8844c206c5fffff,1
8844c20629fffff,1
8844c20451fffff,1
8844c20727fffff,1
8844c20563fffff,2
8844c20561fffff,3
8844c20307fffff,23
8844c2014bfffff,55
8844c20157fffff,30
8844c20111fffff,17
8844c20113fffff,11
8844c2188bfffff,3
8844c218abfffff,1
8844c20a49fffff,2
8844c20a13fffff,2
8844c200e9fffff,6
8844c201b9fffff,2
8844c20193fffff,9
8844c20e0bfffff,2
8844c20aabfffff,5
8844c20aa9fffff,1
8844c208ddfffff,2
8844c2314dfffff,4
8844c20485fffff,1
8844c204a7fffff,6
8844c23a49fffff,2
8844c20531fffff,1
8844c20ecdfffff,2
8844c20ecbfffff,3
8844c20ec1fffff,10
8844c20593fffff,3
8844c23a6dfffff,2
8844c205b3fffff,17
8844c20eb9fffff,3
8844c23107fffff,1
8844c23a09fffff,4
8844c23a1bfffff,5
8844c23ac3fffff,10
8844c23ad7fffff,12
8844c23ae3fffff,2
8844c23b51fffff,1
8844c2384dfffff,41
8844c23b1dfffff,2
8844c23949fffff,5
8844c23947fffff,53
8844c239edfffff,15
8844c20cddfffff,3
8844c20de1fffff,21
8844c20da5fffff,3
8844c20c9dfffff,3
8844c20c8bfffff,18
8844c23961fffff,11
8844c23965fffff,19
8844c23929fffff,29
8844c23933fffff,29
8844c239e5fffff,18
8844c27613fffff,29
8844c27619fffff,9
8844c27601fffff,6
8844c276e5fffff,25
8844c20da1fffff,1
8844c27295fffff,3
8844c2744dfffff,5
8844c27463fffff,8
8844c27091fffff,4
8844c27543fffff,2
8844c2543dfffff,1
8844c254adfffff,1
8844c254abfffff,6
8844c24641fffff,6
8844c20905fffff,3
8844c209d5fffff,5
8844c20995fffff,1
8844c20925fffff,1
8844c246c3fffff,2
8844c24689fffff,3
8844c24681fffff,1
8844c24697fffff,2
8844c242d9fffff,2
8844c241edfffff,1
8844c24181fffff,11
8844c241b1fffff,1
8844c24f1dfffff,1
8844c24e3dfffff,1
8844c24c43fffff,1
8844c27265fffff,1
8844c272edfffff,5
8844c244a7fffff,2
8844c2715dfffff,10
8844c2710bfffff,2
8844c27117fffff,6
8844c271d1fffff,2
8844c271d5fffff,7
8844c270a5fffff,3
8844c2719dfffff,1
8844c27567fffff,1
8844c26253fffff,21
8844c26209fffff,1
8844c26229fffff,3
8844c271e7fffff,2
8844c271a5fffff,18
8844c27a89fffff,5
8844c27ab9fffff,8
8844c26303fffff,9
8844c278dbfffff,4
8844c278c3fffff,1
8844c26323fffff,1
8844c245b9fffff,3
8844c27a29fffff,32
8844c27b3dfffff,8
8844c27b21fffff,7
8844c27b15fffff,2
8844c24ccdfffff,1
8844c24c8dfffff,8
8844c24c81fffff,2
8844c24c35fffff,1
8844c24c91fffff,19
8844c27949fffff,1
8844c27951fffff,1
8844c2791bfffff,1
8844c279c3fffff,5
8844d1b601fffff,1
8844c279a1fffff,1
8844c2231dfffff,6
8844c23abbfffff,3
8844c23ab1fffff,2
8844c238c1fffff,4
8844c22f1dfffff,29
8844c22cc1fffff,2
8844c228b1fffff,4
8844dc9255fffff,2
8844c22de5fffff,11
8844dc920bfffff,2
8844dc905bfffff,3
8844c22d83fffff,1
8844c22d97fffff,4
8844c35967fffff,1
